Symbol,Name,Sector
CZNC,Citizens & Northern,Financials
CZR,Caesars Entertainment,Discretionary
CZWI,Citizens Community Bancorp,Financials
DAIO,Data I/O,Industrial
DAKT,Daktronics,Industrial
DAVE,Famous Dave's of America, Inc.,ETF
DAX,Recon Capital DAX Germany ETF,ETF
DBVT,DBV Technologies,Healthcare
DCOM,Dime Community Bancshares,Financials
DCTH,Delcath Systems,Healthcare
DENN,Denny's,Discretionary
DERM,Journey Medical,Healthcare
DFVL,Barclays PLC,ETF
DFVS,Barclays PLC,ETF
DGICA,Donegal Group,Financials
DGICB,Donegal Group,Financials
DGII,Digi International,Industrial
DGLD,Credit Suisse AG,ETF
DGLY,Digital Ally,Industrial
DGRE,WisdomTree Emerging Markets Dividend Growth Fund,ETF
DGRS,WisdomTree U.S. SmallCap Dividend Growth Fund,ETF
DGRW,WisdomTree U.S. Dividend Growth Fund,ETF
DHIL,Diamond Hill Investment Group,Financials
DIOD,Diodes,Information Technology
DISH,DISH Network,Communication
DJCO,Daily Journal,Communication
DLBS,Barclays PLC,ETF
DLHC,DLH Holdings,Services
DLTR,Dollar Tree,Discretionary
DMLP,Dorchester Minerals,Energy
DMRC,Digimarc,Information Technology
DORM,Dorman Products,Industrial
DOX,Amdocs,Information Technology
DRIV,Digital River, Inc.,ETF
DRRX,DURECT,Healthcare
DSGX,The Descartes Systems Group,Information Technology
DSLV,Credit Suisse AG,ETF
DSWL,Deswell Industries,Industrial
DTUL,Barclays PLC,ETF
DTUS,Barclays PLC,ETF
DTYL,Barclays PLC,ETF
DTYS,Barclays PLC,ETF
DVAX,Dynavax Technologies,Healthcare
DWAT,Arrow DWA Tactical ETF,ETF
DWCH,Datawatch Corporation,ETF
DWSN,Dawson Geophysical Company,Energy
DXCM,DexCom,Healthcare
DXGE,WisdomTree Germany Hedged Equity Fund,ETF
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ETF
DXLG,Destination XL Group,Discretionary
DXPE,DXP Enterprises,Industrial
DXYN,The Dixie Group,Discretionary
DYNT,Dynatronics,Healthcare
DYSL,Dynasil Corporation of America,ETF
EA,Electronic Arts,Communication
EAC,Edify Acquisition,SPAC
EBAY,eBay Inc.,Information Technology
EBIX,Ebix, Inc.,Information Technology
EBMT,Eagle Bancorp Montana,Financials
EBTC,Enterprise Bancorp,Financials
ECOL,US Ecology,Industrial
ECPG,Encore Capital Group,Financials
ECYT,Endocyte, Inc.,ETF
EDAP,EDAP TMS,Healthcare
EDGW,Edgewater Technology, Inc.,ETF
EDUC,Educational Development,Industrial
EEFT,Euronet Worldwide,Information Technology
EEMA,iShares MSCI Emerging Markets Asia Index Fund,ETF
EFOI,Energy Focus,Industrial
EFSC,Enterprise Financial Services,Financials
EGAN,eGain,Information Technology
EGBN,Eagle Bancorp,Financials
EGHT,8x8, Inc.,Information Technology
EGLE,Eagle Bulk Shipping,Industrial
EGRX,Eagle Pharmaceuticals,Healthcare
EHTH,eHealth,Financials
ELON,Echelon Corporation,ETF
ELSE,Electro-Sensors,Industrial
ELTK,Eltek,Industrial
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,ETF
EMCF,Emclaire Financial,Financials
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,ETF
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,ETF
EMITF,Elbit Imaging Ltd.,ETF
EMKR,EMCORE,Industrial
EML,The Eastern Company,Industrial
EMMS,Emmis Communications Corporation,ETF
ENG,ENGlobal,Energy
ENPH,Enphase Energy,Information Technology
ENSG,The Ensign Group,Healthcare
ENTA,Enanta Pharmaceuticals,Healthcare
ENTG,Entegris,Information Technology
ENTR,Entropic Communications, Inc.,ETF
ENZN,Enzon Pharmaceuticals, Inc.,ETF
EQIX,Equinix,Real Estate
ERIC,Ericsson,Industrial
ERIE,Erie Indemnity Company,Financials
ERII,Energy Recovery,Industrial
ESCA,Escalade,Discretionary
ESCR,Escalera Resources Co.,ETF
ESEA,Euroseas,Industrial
ESGR,Enstar Group,Financials
ESIO,Electro Scientific Industries, Inc.,ETF
ESLT,Elbit Systems,Industrial
ESMC,Escalon Medical Corp.,ETF
ESPR,Esperion Therapeutics,Healthcare
ESRX,Express Scripts Holding Company,ETF
ESSA,ESSA Bancorp,Financials
EUFN,iShares MSCI Europe Financials Sector Index Fund,ETF
EVK,Ever-Glory International Group,Discretionary
EVLV,Evolv Technologies Holdings,Discretionary
EVOK,Evoke Pharma,Healthcare
EVOL,Evolving Systems,Information Technology
EWBC,East West Bancorp,Financials
EXAC,Exactech, Inc.,ETF
EXAS,Exact Sciences,Healthcare
EXEL,Exelixis,Healthcare
EXLS,ExlService Holdings,Information Technology
EXPD,Expeditors International of Washington,Industrial
EXPE,Expedia Group,Information Technology
EXPO,Exponent,Services
EXTR,Extreme Networks,Industrial
EZPW,EZCORP,Financials
FALC,FalconStor Software, Inc.,ETF
FANG,Diamondback Energy,Energy
FARM,Farmer Brothers Company,Staples
FARO,FARO Technologies,Industrial
FAST,Fastenal Company,Industrial
FATE,Fate Therapeutics,Healthcare
FB,Meta Platforms,Information Technology
FBIZ,First Business Financial Services,Financials
FBMS,The First Bancshares,Financials
FBNC,First Bancorp,Financials
FCAP,First Capital,Financials
FCBC,First Community Bancshares,Financials
FCCO,First Community,Financials
FCEL,FuelCell Energy,Industrial
FCFS,FirstCash Holdings,Financials
FCNCA,First Citizens BancShares,Financials
FDIV,First Trust Strategic Income ETF,ETF
FDUS,Fidus Investment,Financials
FEIM,Frequency Electronics,Industrial
FELE,Franklin Electric Co.,Industrial
FEMB,First Trust Emerging Markets Local Currency Bond ETF,ETF
FEUZ,First Trust Eurozone AlphaDEX ETF,ETF
FFBC,First Financial Bancorp,Financials
FFHL,Fuwei Films (Holdings) Co.,Materials
FFIC,Flushing Financial,Financials
FFIN,First Financial Bankshares,Financials
FFIV,F5 Networks,Industrial
FFKT,Farmers Capital Bank Corporation,ETF
FFNM,First Federal of Northern Michigan Bancorp, Inc.,ETF
FFNW,First Financial Northwest,Financials
FFWM,First Foundation,Financials
FGEN,FibroGen,Healthcare
FIBK,First Interstate BancSystem,Financials
FINL,The Finish Line, Inc.,ETF
FISI,Financial Institutions,Financials
FISV,Fiserv,Information Technology
FITB,Fifth Third Bancorp,Financials
FITBI,Fifth Third Bancorp,ETF
FIVE,Five Below,Discretionary
FIVN,Five9,Information Technology
FIZZ,National Beverage,Discretionary
FLAT,Barclays PLC,ETF
FLEX,Flex Ltd.,Industrial
FLIC,The First of Long Island Corporation,Financials
FLL,Full House Resorts,Discretionary
FLWS,1-800-Flowers.com,Information Technology
FLXS,Flexsteel Industries,Discretionary
FMB,First Trust Managed Municipal ETF,ETF
FMBH,First Mid Bancshares,Financials
FMI,Foundation Medicine, Inc.,ETF
FMNB,Farmers National Banc,Financials
FNHC,FedNat Holding Company,Financials
FNLC,First Bancorp, Inc. - Maine,Financials
FOLD,Amicus Therapeutics,Healthcare
FONE,First Trust NASDAQ CEA Smartphone Index Fund,ETF
FONR,Fonar,Healthcare
FORD,Forward Industries,Discretionary
FORM,FormFactor,Information Technology
FORR,Forrester Research,Services
FORTY,Formula Systems (1985),Information Technology
FOSL,Fossil Group,Discretionary
FOX,Fox Corporation,Communication
FOXA,Fox Corporation,Communication
FOXF,Fox Factory Holding,Industrial
FPXI,First Trust International IPO ETF,ETF
FRBA,First Bank,Financials
FRBK,Republic First Bancorp,Financials
FREE,Whole Earth Brands,Discretionary
FRGI,Fiesta Restaurant Group,Discretionary
FRME,First Merchants,Financials
FRPH,FRP Holdings,Real Estate
FRPT,Freshpet,Staples
FRSH,Freshworks,Information Technology
FSBW,FS Bancorp,Financials
FSFG,First Savings Financial Group,Financials
FSLR,First Solar,Information Technology
FSTR,L.B. Foster Company,Industrial
FTCS,First Trust Capital Strength ETF,ETF
FTEK,Fuel Tech,Industrial
FTGC,First Trust Global Tactical Commodity Strategy Fund,ETF
FTHI,First Trust High Income ETF,ETF
FTLB,First Trust Low Beta Income ETF,ETF
FTNT,Fortinet,Information Technology
FTSL,First Trust Senior Loan Fund ETF,ETF
FTSM,First Trust Enhanced Short Maturity ETF,ETF
FULT,Fulton Financial,Financials
FUNC,First United,Financials
FUND,Royce Focus Trust, Inc.,ETF
FV,First Trust Dorsey Wright Focus 5 ETF,ETF
FWP,Forward Pharma,Healthcare
FWRD,Forward Air,Industrial
GABC,German American Bancorp,Financials
GAI,Global,ETF
GAIA,Gaia, Inc.,Communication
GAIN,Gladstone Investment,Financials
GALT,Galectin Therapeutics,Healthcare
GAME,Engine Gaming & Media,Information Technology
GASS,StealthGas,Energy
GBCI,Glacier Bancorp,Financials
GBDC,Golub Capital BDC,Financials
GBIM,GlobeImmune, Inc.,ETF
GBLI,Global Indemnity Group, LLC,Financials
GBNK,Guaranty Bancorp,ETF
GCBC,Greene County Bancorp,Financials
GENC,Gencor Industries,Industrial
GENE,Genetic Technologies,Healthcare
GEOS,Geospace Technologies,Energy
GERN,Geron,Healthcare
GEVO,Gevo, Inc.,Energy
GGAL,Grupo Financiero Galicia,Financials
GIFI,Gulf Island Fabrication,Energy
GIGA,Giga,ETF
GIGM,GigaMedia,Communication
GIII,G-III Apparel Group,Discretionary
GILD,Gilead Sciences,Healthcare
GILT,Gilat Satellite Networks,Industrial
GK,G&K Services, Inc.,ETF
GLAD,Gladstone Capital,Financials
GLBS,Globus Maritime,Industrial
GLBZ,Glen Burnie Bancorp,Financials
GLDD,Great Lakes Dredge & Dock,Industrial
GLDI,Credit Suisse AG,ETF
GLMD,Galmed Pharmaceuticals,Healthcare
GLNG,Golar LNG,Energy
GLPI,Gaming & Leisure Properties,Real Estate
GLRE,Greenlight Capital Re,Financials
GLRI,Glori Energy Inc,ETF
GLYC,GlycoMimetics,Healthcare
GMAN,Gordmans Stores, Inc.,ETF
